ID,Crop,Problem,Weather,Soil_Type,Growth_Stage,Severity,Recommended_Medicine,Medicine_Type,Application_Method,Uses_When_To_Use
30,Rice,Aphids,Dry,Loamy,Vegetative,Medium,Neem Oil,Bio-pesticide,Spot treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Avoid excess nitrogen application. Do not mix without expert advice.
31,Rice,Aphids,Dry,Loamy,Vegetative,High,Neem Oil,Bio-pesticide,Trap-based monitoring,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Remove heavily infested shoots. Rotate modes of action where relevant.
32,Rice,Aphids,Dry,Loamy,Vegetative,Very High,Neem Oil,Bio-pesticide,Foliar spray,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Remove heavily infested shoots. Follow label instructions and local agricultural guidance.
33,Rice,Aphids,Dry,Loamy,Flowering,Low,Neem Oil,Bio-pesticide,Spot treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Start field scouting early. Recheck the crop 3 to 5 days after use.
34,Rice,Aphids,Dry,Loamy,Flowering,Medium,Neem Oil,Bio-pesticide,Nursery treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Remove heavily infested shoots. Use only after field diagnosis.
35,Rice,Aphids,Dry,Loamy,Flowering,High,Neem Oil,Bio-pesticide,Spot treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Remove heavily infested shoots. Do not mix without expert advice.
36,Rice,Aphids,Dry,Loamy,Flowering,Very High,Neem Oil,Bio-pesticide,Spot treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Avoid excess nitrogen application. Do not mix without expert advice.
37,Rice,Aphids,Dry,Loamy,Fruiting,Low,Neem Oil,Bio-pesticide,Foliar spray,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Avoid excess nitrogen application. Rotate modes of action where relevant.
38,Rice,Aphids,Dry,Loamy,Fruiting,Medium,Neem Oil,Bio-pesticide,Spot treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Remove heavily infested shoots. Follow label instructions and local agricultural guidance.
39,Rice,Aphids,Dry,Loamy,Fruiting,High,Neem Oil,Bio-pesticide,Drip application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Remove heavily infested shoots. Do not mix without expert advice.
40,Rice,Aphids,Dry,Loamy,Fruiting,Very High,Neem Oil,Bio-pesticide,Broadcast with guidance,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Start field scouting early. Combine with sanitation and scouting.
41,Rice,Aphids,Dry,Loamy,Transplant Recovery,Low,Neem Oil,Bio-pesticide,Soil application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Remove heavily infested shoots. Combine with sanitation and scouting.
42,Rice,Aphids,Dry,Loamy,Transplant Recovery,Medium,Neem Oil,Bio-pesticide,Spot treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Remove heavily infested shoots. Rotate modes of action where relevant.
43,Rice,Aphids,Dry,Loamy,Transplant Recovery,High,Neem Oil,Bio-pesticide,Trap-based monitoring,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Start field scouting early. Combine with sanitation and scouting.
44,Rice,Aphids,Dry,Loamy,Transplant Recovery,Very High,Neem Oil,Bio-pesticide,Seed treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Remove heavily infested shoots. Do not mix without expert advice.
45,Rice,Aphids,Dry,Loamy,Pre-harvest,Low,Neem Oil,Bio-pesticide,Soil application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Start field scouting early. Follow label instructions and local agricultural guidance.
46,Rice,Aphids,Dry,Loamy,Pre-harvest,Medium,Neem Oil,Bio-pesticide,Soil application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Remove heavily infested shoots. Recheck the crop 3 to 5 days after use.
47,Rice,Aphids,Dry,Loamy,Pre-harvest,High,Neem Oil,Bio-pesticide,Trap-based monitoring,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Start field scouting early. Follow label instructions and local agricultural guidance.
48,Rice,Aphids,Dry,Loamy,Pre-harvest,Very High,Neem Oil,Bio-pesticide,Foliar spray,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Avoid excess nitrogen application. Recheck the crop 3 to 5 days after use.
49,Rice,Aphids,Dry,Clay,Seedling,Low,Neem Oil,Bio-pesticide,Nursery treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Remove heavily infested shoots. Use only after field diagnosis.
50,Rice,Aphids,Dry,Clay,Seedling,Medium,Neem Oil,Bio-pesticide,Nursery treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Start field scouting early. Combine with sanitation and scouting.
51,Rice,Aphids,Dry,Clay,Seedling,High,Neem Oil,Bio-pesticide,Spot treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Avoid excess nitrogen application. Combine with sanitation and scouting.
52,Rice,Aphids,Dry,Clay,Seedling,Very High,Neem Oil,Bio-pesticide,Seed treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Avoid excess nitrogen application. Recheck the crop 3 to 5 days after use.
53,Rice,Aphids,Dry,Clay,Vegetative,Low,Neem Oil,Bio-pesticide,Spot treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Start field scouting early. Recheck the crop 3 to 5 days after use.
54,Rice,Aphids,Dry,Clay,Vegetative,Medium,Neem Oil,Bio-pesticide,Drip application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Start field scouting early. Follow label instructions and local agricultural guidance.
55,Rice,Aphids,Dry,Clay,Vegetative,High,Neem Oil,Bio-pesticide,Seed treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Remove heavily infested shoots. Use only after field diagnosis.
56,Rice,Aphids,Dry,Clay,Vegetative,Very High,Neem Oil,Bio-pesticide,Drip application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Avoid excess nitrogen application. Recheck the crop 3 to 5 days after use.
57,Rice,Aphids,Dry,Clay,Flowering,Low,Neem Oil,Bio-pesticide,Broadcast with guidance,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Remove heavily infested shoots. Use only after field diagnosis.
58,Rice,Aphids,Dry,Clay,Flowering,Medium,Neem Oil,Bio-pesticide,Trap-based monitoring,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Avoid excess nitrogen application. Do not mix without expert advice.
59,Rice,Aphids,Dry,Clay,Flowering,High,Neem Oil,Bio-pesticide,Soil application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Start field scouting early. Do not mix without expert advice.
60,Rice,Aphids,Dry,Clay,Flowering,Very High,Neem Oil,Bio-pesticide,Foliar spray,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Start field scouting early. Rotate modes of action where relevant.
61,Rice,Aphids,Dry,Clay,Fruiting,Low,Neem Oil,Bio-pesticide,Nursery treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Avoid excess nitrogen application. Follow label instructions and local agricultural guidance.
62,Rice,Aphids,Dry,Clay,Fruiting,Medium,Neem Oil,Bio-pesticide,Spot treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Start field scouting early. Rotate modes of action where relevant.
63,Rice,Aphids,Dry,Clay,Fruiting,High,Neem Oil,Bio-pesticide,Drip application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Avoid excess nitrogen application. Do not mix without expert advice.
64,Rice,Aphids,Dry,Clay,Fruiting,Very High,Neem Oil,Bio-pesticide,Soil application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Remove heavily infested shoots. Do not mix without expert advice.
65,Rice,Aphids,Dry,Clay,Transplant Recovery,Low,Neem Oil,Bio-pesticide,Seed treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Remove heavily infested shoots. Use only after field diagnosis.
66,Rice,Aphids,Dry,Clay,Transplant Recovery,Medium,Neem Oil,Bio-pesticide,Trap-based monitoring,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Avoid excess nitrogen application. Do not mix without expert advice.
67,Rice,Aphids,Dry,Clay,Transplant Recovery,High,Neem Oil,Bio-pesticide,Nursery treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Avoid excess nitrogen application. Do not mix without expert advice.
68,Rice,Aphids,Dry,Clay,Transplant Recovery,Very High,Neem Oil,Bio-pesticide,Trap-based monitoring,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Avoid excess nitrogen application. Combine with sanitation and scouting.
69,Rice,Aphids,Dry,Clay,Pre-harvest,Low,Neem Oil,Bio-pesticide,Soil application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Avoid excess nitrogen application. Recheck the crop 3 to 5 days after use.
70,Rice,Aphids,Dry,Clay,Pre-harvest,Medium,Neem Oil,Bio-pesticide,Foliar spray,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Remove heavily infested shoots. Use only after field diagnosis.
71,Rice,Aphids,Dry,Clay,Pre-harvest,High,Neem Oil,Bio-pesticide,Seed treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Avoid excess nitrogen application. Follow label instructions and local agricultural guidance.
72,Rice,Aphids,Dry,Clay,Pre-harvest,Very High,Neem Oil,Bio-pesticide,Foliar spray,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Clay soil may retain water and increase root disease risk. Avoid excess nitrogen application. Do not mix without expert advice.
73,Rice,Aphids,Dry,Red Soil,Seedling,Low,Neem Oil,Bio-pesticide,Trap-based monitoring,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Red soil may require nutrient balancing and moisture support. Avoid excess nitrogen application. Do not mix without expert advice.
74,Rice,Aphids,Dry,Red Soil,Seedling,Medium,Neem Oil,Bio-pesticide,Foliar spray,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Red soil may require nutrient balancing and moisture support. Avoid excess nitrogen application. Use only after field diagnosis.
75,Rice,Aphids,Dry,Red Soil,Seedling,High,Neem Oil,Bio-pesticide,Trap-based monitoring,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Red soil may require nutrient balancing and moisture support. Avoid excess nitrogen application. Recheck the crop 3 to 5 days after use.
76,Rice,Aphids,Dry,Red Soil,Seedling,Very High,Neem Oil,Bio-pesticide,Seed treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Red soil may require nutrient balancing and moisture support. Start field scouting early. Combine with sanitation and scouting.
77,Rice,Aphids,Dry,Red Soil,Vegetative,Low,Neem Oil,Bio-pesticide,Broadcast with guidance,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Red soil may require nutrient balancing and moisture support. Start field scouting early. Rotate modes of action where relevant.
78,Rice,Aphids,Dry,Red Soil,Vegetative,Medium,Neem Oil,Bio-pesticide,Broadcast with guidance,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Red soil may require nutrient balancing and moisture support. Remove heavily infested shoots. Follow label instructions and local agricultural guidance.
79,Rice,Aphids,Dry,Red Soil,Vegetative,High,Neem Oil,Bio-pesticide,Drip application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Red soil may require nutrient balancing and moisture support. Remove heavily infested shoots. Use only after field diagnosis.
80,Rice,Aphids,Dry,Red Soil,Vegetative,Very High,Neem Oil,Bio-pesticide,Seed treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Red soil may require nutrient balancing and moisture support. Remove heavily infested shoots. Rotate modes of action where relevant.
81,Rice,Aphids,Dry,Red Soil,Flowering,Low,Neem Oil,Bio-pesticide,Spot treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Red soil may require nutrient balancing and moisture support. Remove heavily infested shoots. Do not mix without expert advice.
82,Rice,Aphids,Dry,Red Soil,Flowering,Medium,Neem Oil,Bio-pesticide,Spot treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Red soil may require nutrient balancing and moisture support. Remove heavily infested shoots. Use only after field diagnosis.
83,Rice,Aphids,Dry,Red Soil,Flowering,High,Neem Oil,Bio-pesticide,Spot treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Red soil may require nutrient balancing and moisture support. Remove heavily infested shoots. Do not mix without expert advice.
84,Rice,Aphids,Dry,Red Soil,Flowering,Very High,Neem Oil,Bio-pesticide,Drip application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Red soil may require nutrient balancing and moisture support. Start field scouting early. Follow label instructions and local agricultural guidance.
85,Rice,Aphids,Dry,Red Soil,Fruiting,Low,Neem Oil,Bio-pesticide,Trap-based monitoring,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Red soil may require nutrient balancing and moisture support. Start field scouting early. Follow label instructions and local agricultural guidance.
86,Rice,Aphids,Dry,Red Soil,Fruiting,Medium,Neem Oil,Bio-pesticide,Spot treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Red soil may require nutrient balancing and moisture support. Start field scouting early. Combine with sanitation and scouting.
87,Rice,Aphids,Dry,Red Soil,Fruiting,High,Neem Oil,Bio-pesticide,Broadcast with guidance,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Red soil may require nutrient balancing and moisture support. Remove heavily infested shoots. Recheck the crop 3 to 5 days after use.
88,Rice,Aphids,Dry,Red Soil,Fruiting,Very High,Neem Oil,Bio-pesticide,Seed treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Red soil may require nutrient balancing and moisture support. Avoid excess nitrogen application. Follow label instructions and local agricultural guidance.
89,Rice,Aphids,Dry,Red Soil,Transplant Recovery,Low,Neem Oil,Bio-pesticide,Seed treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Red soil may require nutrient balancing and moisture support. Remove heavily infested shoots. Rotate modes of action where relevant.
